Magnitude,Depth,destruction,Victim's reaction,Intensity
7,137,3,4,5
7,26,3,4,5
4.6,33,6,7,8
8,20,7,8,9
6.7,553.81,1,2,3
7.5,15,0,1,2
4.7,10,5,6,7
7,35,4,5,6
6.5,35,4,5,6
6.6,10,2,3,4
6.6,533.76,0,1,2
7.3,33,5,6,7
6.9,10,5,6,7
6.5,6.8,2,3,4
7.4,29,4,5,6
6.6,16,4,5,6
4.6,7,4,5,6
6.7,12,8,9,10
7.8,59.3,7,8,9
7.1,10,3,4,5
7.1,10,3,4,5
6.9,20,3,4,5
8.2,45,6,7,8
6.4,72,7,8,9
6.5,187,2,3,4
5.8,10,5,6,7
6.6,18,4,5,6
7,40,9,10,11
7,21,6,7,8
6.7,32,4,5,6
6.7,16,8,9,10
7,29,4,5,6
6.9,26,2,3,4
7.6,55,5,6,7
7.5,33,4,5,6
7.1,103,5,6,7
7.3,32,3,4,5
6.8,21,5,6,7
7.3,385.5,2,3,4
8.2,60,9,10,11
7.9,135,5,6,7
5.8,15,6,7,8
5.9,10,7,8,9
7.2,25,5,6,7
6.6,57.92,4,5,6
7.1,10,5,6,7
7.7,60,6,7,8
6.6,164.6,3,4,5
5,10,2,3,4
5.7,10,6,7,8
5.2,10,6,7,8
5.8,33,7,8,9
7.9,4.2,7,8,9
6.6,21,5,6,7
5.8,10,7,8,9
6.8,630.379,1,2,3
6.6,27,3,4,5
6.5,196,2,3,4
6.8,150,3,4,5
5.9,33,8,9,10
6.8,58,3,4,5
7.9,20,9,10,11
6.6,43.21,2,3,4
6.6,25,4,5,6
7.1,146,4,5,6
7,11,4,5,6
6.8,21,3,4,5
7.8,20,10,11,12
6.1,8,6,7,8
6.2,11,7,8,9
7.1,28.4,4,5,6
5.3,11,5,6,7
7.3,10,7,8,9
7.6,10,7,8,9
6.7,10,1,2,3
6.8,25,4,5,6
7.2,240,5,6,7
6.6,53,3,4,5
7.3,26.3,5,6,7
6.9,93,4,5,6
7.2,33,5,6,7
6.8,35,4,5,6
6.8,18,5,6,7
7.7,48,6,7,8
7,13,7,8,9
6.9,5,7,8,9
7.6,620.56,2,3,4
6.1,9,6,7,8
6.7,20,5,6,7
6.5,42.9,4,5,6
6.5,35,3,4,5
5.7,5,6,7,8
7.7,10,5,6,7
7.2,10,7,8,9
6.8,10,5,6,7
6.9,5,5,6,7
6.7,55,5,6,7
7.5,33,5,6,7
7.5,55,5,6,7
7.6,30,7,8,9
5.8,24,5,6,7
6.4,17,6,7,8
6.8,10,2,3,4
7.1,10,3,4,5
6.6,187.1,2,3,4
7,66,5,6,7
7,68,5,6,7
6.6,12,6,7,8
7.5,20,8,9,10
5.4,4,6,7,8
6.5,15,6,7,8
7.6,26,5,6,7
6.7,602.75,1,2,3
6.7,11,5,6,7
6.4,13,4,5,6
7.6,60,7,8,9
7.1,73.7,5,6,7
6.8,610.671,1,2,3
6.6,18,5,6,7
7.8,33,5,6,7
5.5,70,8,9,10
6.6,14,3,4,5
8,600,2,3,4
7.1,48,6,7,8
7.6,13,8,9,10
7.9,33,4,5,6
6.5,16.7,5,6,7
6.6,16,6,7,8
7.5,20,8,9,10
4.8,10,4,5,6
7.9,33,5,6,7
6.9,28.42,3,4,5
6.7,38.182,7,8,9
7.4,73,4,5,6
5.7,20,6,7,8
6.5,10,2,3,4
6.3,93,3,4,5
7.3,31,3,4,5
7.9,5,7,8,9
7.2,35,3,4,5
6.5,21,4,5,6
6.7,46,4,5,6
6.1,15,6,7,8
7,31,4,5,6
6.5,9,6,7,8
6.8,11.6,7,8,9
6.8,15.4,4,5,6
6.1,10,8,9,10
6.1,44,5,6,7
6.5,246,2,3,4
7.7,60,6,7,8
6.3,33,6,7,8
8.3,23.5,7,8,9
6,70,6,7,8
7.8,40,6,7,8
7.8,15,7,8,9
7.1,40,4,5,6
7.9,10,3,4,5
7,14,5,6,7
6.7,8,6,7,8
6.6,33,4,5,6
5.3,11,5,6,7
6.9,26,2,3,4
5.5,27,4,5,6
7.1,58,5,6,7
4.8,12,1,2,3
6.7,8,6,7,8
5.1,15,4,5,6
7,114.1,5,6,7
6.7,10,8,9,10
7.8,59,7,8,9
8.5,30,9,10,11
5.1,12,1,2,3
7.3,19,6,7,8
5.1,12,1,2,3
6.8,25,7,8,9
8.3,60,8,9,10
4.6,19,6,7,8
6.6,10,2,3,4
7.6,620.56,2,3,4
5.5,19,7,8,9
6.6,79,5,6,7
7.7,33,5,6,7
5.7,12,4,5,6
8.2,25,6,7,8
7,30,5,6,7
4.5,10,0,1,2
8.3,75,7,8,9
7.6,22,6,7,8
6.8,535,1,2,3
6.6,7,5,6,7
6.6,33,4,5,6
6.1,15,5,6,7
6.1,44,5,6,7
6.9,53,6,7,8
7.1,85.7,5,6,7
5.8,10,7,8,9
6.7,8,6,7,8
6.7,24,4,5,6
5.5,70,8,9,10
6.6,20,4,5,6
5.5,15,5,6,7
7.1,15,7,8,9
7.3,10,6,7,8
7,10,4,5,6
6.6,50,3,4,5
7.4,30,8,9,10
7.8,33,5,6,7
6.7,30,3,4,5
5.8,35,6,7,8
6.8,7,7,8,9
6.8,87,4,5,6
6.8,72.6,4,5,6
6,10,7,8,9
6.8,72.6,4,5,6
7.9,109,4,5,6
5.5,39,2,3,4
7.6,26,5,6,7
6.7,206.3,2,3,4
7.1,19,7,8,9
7.6,25,8,9,10
8,24,5,6,7
5.4,7,7,8,9
7,123.1,4,5,6
9.5,25,10,11,12
6.5,8,2,3,4
7.3,16,8,9,10
6.4,107,2,3,4
7.8,28,6,7,8
6.6,33,5,6,7
6.5,20,4,5,6
6.7,33,3,4,5
5,7,5,6,7
6.8,21,3,4,5
5.3,10,5,6,7
6.8,15,4,5,6
6.5,15,6,7,8
6.5,17,2,3,4
4.7,10,4,5,6
6,12,5,6,7
6.8,52,6,7,8
6.6,10,3,4,5
7.2,177,5,6,7
6.5,15,8,9,10
7.6,20,7,8,9
6.5,105.6,3,4,5
5.5,33,2,3,4
8,46,5,6,7
6.6,35,5,6,7
6,10,2,3,4
6.9,9.97,3,4,5
7.2,20,8,9,10
7.2,19,2,3,4
7.7,20,7,8,9
6.6,18,5,6,7
6.3,10,5,6,7
6.5,10,5,6,7
6.5,83,4,5,6
4.9,8,5,6,7
6.5,29,4,5,6
6.6,50,3,4,5
7.6,10,4,5,6
6.8,26,4,5,6
6.4,15,8,9,10
8,33,4,5,6
8.5,35,7,8,9
9.1,29,7,8,9
8.7,30,6,7,8
7,33.729,6,7,8
6.5,10,2,3,4
6.5,17,2,3,4
7.9,35,5,6,7
7.1,630,1,2,3
7.2,10,7,8,9
6.8,10,2,3,4
6.5,10,5,6,7
7.5,60.6,6,7,8
6.5,38,3,4,5
8,100,6,7,8
8,10,3,4,5
6.5,301,2,3,4
7.6,12.2,9,10,11
6.8,18,5,6,7
6.1,60,6,7,8
7.9,60,7,8,9
8.6,20,5,6,7
7.6,15,6,7,8
7.3,15,8,9,10
8,30,6,7,8
8.1,22.79,5,6,7
5.5,10,5,6,7
6.5,13.4,5,6,7
6.6,19,3,4,5
7.7,196,4,5,6
7.4,8,7,8,9
6.7,33,2,3,4
7.1,10,5,6,7
6.9,53,5,6,7
5.7,54,7,8,9
7.3,146.82,4,5,6
6.7,33,3,4,5
6.7,10,5,6,7
5.4,5,5,6,7
7.9,100,8,9,10
7.3,23,8,9,10
9.5,33,10,11,12
9.3,10,7,8,9
6.9,36.4,5,6,7
6,82,3,4,5
5,6,6,7,8
6.8,46,3,4,5
5.8,33,7,8,9
6.4,20,4,5,6
6.7,27.4,4,5,6
6.6,15,5,6,7
8.2,600,3,4,5
6.2,10,6,7,8
5.8,10,4,5,6
5.8,6,7,8,9
8.1,28.93,6,7,8
6.2,84,5,6,7
6.5,10,4,5,6
6.9,29,2,3,4
7.5,61,6,7,8
6.9,20,3,4,5
7.2,15,8,9,10
7.3,16,8,9,10
6.9,10,1,2,3
6.9,15,8,9,10
5.4,13,4,5,6
6.6,27,3,4,5
7.8,59.3,7,8,9
6.4,15,6,7,8
7.1,42,5,6,7
6.4,8,7,8,9
5.1,11,5,6,7
7.3,527,2,3,4
7.7,80,6,7,8
7.1,46.7,6,7,8
7.3,28,3,4,5
6.8,144.3,3,4,5
6.4,33,8,9,10
7.6,105,3,4,5
8.3,100,7,8,9
7.3,527,2,3,4
7.1,35,5,6,7
6.8,14,5,6,7
6.5,187,5,6,7
7.3,63,7,8,9
7.1,86,5,6,7
6.4,20,6,7,8
7.7,14.86,4,5,6
6.2,33,7,8,9
6.5,10,6,7,8
8,45.6,6,7,8
6.7,127.9,4,5,6
6.1,33,7,8,9
6.5,10,6,7,8
6.5,33.93,4,5,6
5.6,22,3,4,5
6.1,37,4,5,6
6.9,20,5,6,7
7.8,15,6,7,8
7.4,73,4,5,6
6.8,22,2,3,4
7.6,13,8,9,10
6.6,614,1,2,3
7.7,20,8,9,10
8.2,35,5,6,7
7,18,4,5,6
6.6,10,2,3,4
6.3,79,5,6,7
5,7,5,6,7
5.5,33,6,7,8
6.8,38,4,5,6
6.6,25.7,3,4,5
6.5,17,3,4,5
6.8,10,3,4,5
6.2,34,8,9,10
7,10,7,8,9
4.5,7,4,5,6
6.7,11,6,7,8
8,27.9,7,8,9
6.6,12.2,3,4,5
6.4,15,8,9,10
6.7,40,4,5,6
6.5,12.06,6,7,8
7.6,40,8,9,10
5,6,5,6,7
6.6,27,3,4,5
5.6,25,5,6,7
6.7,26,7,8,9
6.5,28.737,5,6,7
7.8,24,1,2,3
6.9,13,6,7,8
6.9,115,2,3,4
5.6,13,4,5,6
7.1,42,5,6,7
4.5,5,5,6,7
6.4,14,7,8,9
6.8,19,4,5,6
7.9,94.5,5,6,7
6.6,10,4,5,6
6.8,16.441,3,4,5
6.7,10,5,6,7
6.5,33,4,5,6
6.9,10,1,2,3
6.5,41,4,5,6
6.9,17,7,8,9
6.8,7,8,9,10
7,12,6,7,8
7.1,33,7,8,9
6.5,13,6,7,8
7,10,3,4,5
7,10,7,8,9
6.1,10,5,6,7
7.3,41,6,7,8
6.2,50,5,6,7
6.8,164.2,3,4,5
6.6,25.7,3,4,5
6.2,17,5,6,7
7.9,109,6,7,8
6.9,136,4,5,6
6.6,27,5,6,7
7.1,10,8,9,10
5.4,30,3,4,5
7,33,5,6,7
7.5,30,6,7,8
6.6,27.8,2,3,4
7.8,30,5,6,7
4.6,10,5,6,7
6.1,66,4,5,6
5.4,11,3,4,5
6.2,43,9,10,11
6.6,24,5,6,7
5.9,23,4,5,6
6.7,64,3,4,5
6.6,212,2,3,4
5.9,16,6,7,8
6.4,23,6,7,8
7.9,4.2,7,8,9
7.8,20.59,7,8,9
6.2,10,4,5,6
6.6,25,6,7,8
8,10,8,9,10
6.1,60,6,7,8
6.8,122.9,4,5,6
8.5,30,8,9,10
5.2,23,3,4,5
7.4,33,8,9,10
7,12,6,7,8
6.6,10,2,3,4
7.3,62,4,5,6
5.2,26,3,4,5
8,33,8,9,10
7.8,20,8,9,10
6.8,101,4,5,6
6.7,573,1,2,3
6.4,21,4,5,6
5.8,10,8,9,10
5.5,33,4,5,6
6.7,21,4,5,6
5.6,10,1,2,3
5.7,13,3,4,5
6.6,135,3,4,5
7.2,24,5,6,7
7.4,26,5,6,7
7.7,196,4,5,6
5.7,5,7,8,9
5,54,5,6,7
6.9,10,5,6,7
6.1,8,5,6,7
6.8,10,3,4,5
6.7,16,5,6,7
7.7,140,5,6,7
7,68,5,6,7
5.8,10,7,8,9
8,19,4,5,6
6.7,66,4,5,6
5.8,12,2,3,4
8.6,30,6,7,8
4.9,14,3,4,5
7.7,33,6,7,8
6.5,33,5,6,7
7,10,8,9,10
6.6,204.8,2,3,4
6.6,10,2,3,4
6,10,5,6,7
6.8,38,4,5,6
6.9,8,3,4,5
5.3,39,2,3,4
7,16.6,5,6,7
5.7,12,4,5,6
6.5,10,4,5,6
8.2,25,6,7,8
6.9,414.5,1,2,3
7.3,14.27,3,4,5
7.6,620.56,2,3,4
8.5,60,8,9,10
7.7,44,6,7,8
6.9,10,1,2,3
6.8,39,3,4,5
7.1,27,6,7,8
5.5,21,6,7,8
6.5,9,5,6,7
6.7,23,5,6,7
6.5,20,2,3,4
7.3,527,2,3,4
7.6,50,4,5,6
5.9,31,5,6,7
7.8,30,5,6,7
6.6,10,4,5,6
8.3,75,7,8,9
6.3,10,7,8,9
6.7,46,4,5,6
7.6,10,5,6,7
6.6,39,5,6,7
6.1,9,2,3,4
7.4,33,5,6,7
7.9,135,7,8,9
7,10,4,5,6
6.6,53.19,4,5,6
5.2,10,6,7,8
6.5,21,4,5,6
8.1,15,7,8,9
7,80,3,4,5
6.5,6.8,2,3,4
7.8,33,7,8,9
5.6,32,4,5,6
6.5,15,6,7,8
6.5,10,4,5,6
7.1,10,5,6,7
6.5,19.36,6,7,8
6.7,11,2,3,4
8.5,35,7,8,9
6.7,30,3,4,5
7.8,20,8,9,10
7.1,630,1,2,3
6.5,10,5,6,7
6.5,228.4,2,3,4
7.7,10,5,6,7
6.5,14.83,2,3,4
6.7,152,3,4,5
6.6,18,4,5,6
6.8,219.96,2,3,4
5.8,29,5,6,7
8.2,30,7,8,9
5.6,33,8,9,10
6.8,21,3,4,5
7.2,10,2,3,4
7.1,10,6,7,8
6.8,14,4,5,6
6.5,10,4,5,6
6.7,40,4,5,6
7.1,42,6,7,8
6.5,37,1,2,3
6.9,29,5,6,7
6.6,91.1,3,4,5
6.8,42,4,5,6
7.4,225.6,3,4,5
5.5,33,2,3,4
7.2,25,5,6,7
6.6,10,7,8,9
6.7,91,4,5,6
6.8,55,5,6,7
7.5,10,2,3,4
6.5,10,5,6,7
6.5,33.93,4,5,6
7.3,219,5,6,7
6.7,110,3,4,5
6.8,476,1,2,3
7,37,4,5,6
6.5,32,3,4,5
7.1,525,1,2,3
6.4,14,5,6,7
7.1,46.7,6,7,8
6.9,205.681,3,4,5
6.6,54,5,6,7
6.5,37,4,5,6
6.7,24,4,5,6
7.7,33,6,7,8
4.8,10,3,4,5
7.5,280,3,4,5
7,8.8,4,5,6
6.9,26,4,5,6
7.3,35,5,6,7
8,644.8,2,3,4
5.4,10,6,7,8
7.5,18,5,6,7
6.6,166.2,4,5,6
7.7,60,6,7,8
6.7,15,5,6,7
6.6,15,5,6,7
5.1,5,6,7,8
5.5,8,2,3,4
7.9,100,8,9,10
7.1,60,8,9,10
8.2,35,7,8,9
5.8,33,5,6,7
6.7,91,4,5,6
6.9,107,5,6,7
6.7,12,5,6,7
7.2,78,4,5,6
7.1,146,4,5,6
6.2,9,7,8,9
5.8,33,5,6,7
5.6,15,6,7,8
6.4,15,8,9,10
6.5,301,2,3,4
6.5,228.4,2,3,4
6.1,33,5,6,7
7.3,16.56,5,6,7
6.9,27,6,7,8
6.1,10,4,5,6
6.5,10,3,4,5
4.7,10,4,5,6
7.1,45,4,5,6
6.6,614,1,2,3
6.5,29,8,9,10
6.5,35,3,4,5
5.8,22,5,6,7
5.7,10,7,8,9
5.7,20,6,7,8
6.7,33,6,7,8
6.2,155,4,5,6
6.7,10,1,2,3
6.7,17,4,5,6
7.2,110,5,6,7
7,80,3,4,5
6.7,89,4,5,6
6.5,10,4,5,6
7.3,73,5,6,7
6.4,20,2,3,4
6.9,21,5,6,7
7.1,25,7,8,9
6.9,25,3,4,5
7.8,40,5,6,7
7.2,21,4,5,6
5.4,5,5,6,7
6.9,405.69,1,2,3
6.5,20,5,6,7
6.7,33,4,5,6
4.8,10,4,5,6
8.1,24,6,7,8
6.9,414.5,1,2,3
7.3,8,7,8,9
7.6,15,7,8,9
6.6,33,4,5,6
7.3,212,4,5,6
6.8,21,3,4,5
8.2,32.2,5,6,7
7.4,33,5,6,7
6.7,65.8,3,4,5
7,31,4,5,6
6.9,28,5,6,7
7,100,5,6,7
8.1,10,3,4,5
5.6,11,6,7,8
5.7,10,7,8,9
5.9,16,6,7,8
7,19,4,5,6
7.1,21,4,5,6
6.3,33,5,6,7
8.7,30,6,7,8
6.6,15,5,6,7
6.8,35,4,5,6
5.5,15,6,7,8
8.3,60,8,9,10
6.8,220,3,4,5
8.09,33,6,7,8
6.1,6,3,4,5
6.9,110,4,5,6
7.4,30,5,6,7
6,11,5,6,7
7,24.4,5,6,7
5.5,13,3,4,5
6.6,118,4,5,6
7.1,10,6,7,8
6.6,37,6,7,8
7.7,9,7,8,9
6.2,12,5,6,7
7.6,50,2,3,4
6.3,14,7,8,9
7.7,60,6,7,8
7.7,33,8,9,10
8.5,35,7,8,9
7.6,105,3,4,5
6.5,10,5,6,7
7.6,81,6,7,8
7,8.8,4,5,6
6,34,7,8,9
6.9,12,4,5,6
6.6,37,6,7,8
6.8,535,1,2,3
6.6,19,3,4,5
6.9,33,4,5,6
6,10,6,7,8
5.6,10,1,2,3
7.6,33,3,4,5
6.6,10,6,7,8
6.7,64,3,4,5
6.7,12,5,6,7
6.7,23,5,6,7
7,10,7,8,9
6.9,12,4,5,6
6.5,10,3,4,5
7.2,10,7,8,9
5.4,10,3,4,5
7,9,3,4,5
8.4,33,6,7,8
7.1,15,7,8,9
7.7,20,7,8,9
4.9,22,6,7,8
8.2,7,4,5,6
5.8,33,7,8,9
7,110.2,5,6,7
7.1,32.8,4,5,6
6.6,12,2,3,4
4.4,43,4,5,6
6.7,15,5,6,7
6.9,10,7,8,9
6.5,220,2,3,4
6.5,8,7,8,9
7.5,10,7,8,9
6.6,24,6,7,8
7.6,24,5,6,7
7.6,31,3,4,5
6.7,33,4,5,6
8.1,33,9,10,11
6.2,8,6,7,8
8,10,6,7,8
7,150,7,8,9
6,11,6,7,8
6.7,10,8,9,10
6.5,622.73,0,1,2
6.5,38,3,4,5
6.9,5.81,6,7,8
6.3,79,5,6,7
7.9,19,7,8,9
7.1,18,8,9,10
5.4,4,5,6,7
7.8,20,10,11,12
7,48,5,6,7
7.8,167.3,5,6,7
6.9,13,2,3,4
7,19,4,5,6
7,22,5,6,7
9.3,10,7,8,9
5,10,3,4,5
7.3,8,7,8,9
7.3,16,8,9,10
6.5,9,5,6,7
5.7,10,7,8,9
6.1,95,4,5,6
6.8,44,4,5,6
6.5,119,3,4,5
6.6,24,5,6,7
6.7,16,5,6,7
6.5,44.26,1,2,3
6.7,18,4,5,6
7.3,19,6,7,8
6.9,9.97,3,4,5
9.1,29,7,8,9
6.1,10,5,6,7
7.8,15,8,9,10
7.7,22,6,7,8
7.4,18.5,8,9,10
7.8,664,1,2,3
5.9,80,5,6,7
7.9,94.54,5,6,7
6.8,540,1,2,3
6.5,83,4,5,6
7.1,14,7,8,9
6.5,34,4,5,6
6.7,602.75,1,2,3
6,8,6,7,8
6.8,36,4,5,6
7.9,24,4,5,6
7.7,10,6,7,8
7.3,10,8,9,10
6.6,27,5,6,7
6.5,16,4,5,6
6,9,4,5,6
6.9,10,4,5,6
6.2,25,9,10,11
7.3,212,4,5,6
7.5,20,9,10,11
7.4,80,10,11,12
7.1,10,7,8,9
7.8,664,1,2,3
7.1,292,2,3,4
6,9,4,5,6
7.1,138,5,6,7
7.6,3,5,6,7
6.8,33,5,6,7
7,68,5,6,7
6.7,46,4,5,6
7.8,15.11,7,8,9
6.6,91.1,3,4,5
4.9,10,5,6,7
7.9,60,5,6,7
6,10,5,6,7
7.5,40,8,9,10
5.7,8,8,9,10
6.6,39,5,6,7
5.9,16,7,8,9
6.9,30,5,6,7
7.5,18,4,5,6
6.6,20,4,5,6
7.9,48,4,5,6
5.3,18,6,7,8
6.6,27.8,2,3,4
7,60.21,3,4,5
6.8,72.6,4,5,6
6.9,8,3,4,5
7.6,60,7,8,9
6.8,33,5,6,7
6.4,15,8,9,10
8.1,33,7,8,9
6.6,17,5,6,7
6.6,10,6,7,8
6.1,37,4,5,6
7.3,37,3,4,5
6,29,3,4,5
6.7,20,4,5,6
6.2,8,6,7,8
7.6,33,4,5,6
7.1,12,2,3,4
6.6,10,5,6,7
6.1,5,8,9,10
8,15,8,9,10
6.7,24,1,2,3
7.6,22.56,5,6,7
7.7,20.2,2,3,4
6.9,28,5,6,7
6.6,30,4,5,6
6.6,33,5,6,7
6.5,119,3,4,5
6.6,22,5,6,7
4.4,35,5,6,7
6.8,22,5,6,7
6.9,10,1,2,3
6.9,93,4,5,6
8.6,40,7,8,9
6.7,31,4,5,6
5.5,8,2,3,4
5.8,29,5,6,7
6.8,33,5,6,7
6.7,12,4,5,6
7.2,91,4,5,6
6,10,6,7,8
6.7,30.1,5,6,7
9,21.6,9,10,11
6.9,11.19,2,3,4
6,58,4,5,6
7.1,25,7,8,9
6.9,53,5,6,7
6.9,93,4,5,6
6.5,119,3,4,5
5.7,8,8,9,10
6.7,12,3,4,5
6.8,46,5,6,7
6.3,15,6,7,8
6.7,24,2,3,4
8.6,50,8,9,10
7.5,20,8,9,10
6.7,33,3,4,5
7.3,146.82,4,5,6
6.4,142,5,6,7
6.6,27,3,4,5
7.1,32.8,4,5,6
6.9,414.5,1,2,3
5.8,10,4,5,6
6.1,8,5,6,7
6.9,33,1,2,3
6.5,10,4,5,6
8.2,30,7,8,9
8.2,33,7,8,9
7.4,30,7,8,9
7.8,8.22,7,8,9
5.8,9,6,7,8
6.8,540,1,2,3
6.7,32,4,5,6
6.3,79,5,6,7
5.6,13,6,7,8
6.4,15,7,8,9
6.5,90,5,6,7
7.6,24,5,6,7
7.5,10,5,6,7
8,10,3,4,5
6.8,16,5,6,7
7,33.729,6,7,8
6.5,9,5,6,7
8.3,3,7,8,9
6.8,15,8,9,10
6,32,6,7,8
7.1,43.063,5,6,7
6.9,414.5,1,2,3
7.8,15,7,8,9
5.8,45,4,5,6
5.3,10,6,7,8
8.3,33,7,8,9
7.7,17,6,7,8
7,130,5,6,7
7.2,22,5,6,7
6.7,127.9,4,5,6
7,66,5,6,7
8,33,5,6,7
7.5,20,6,7,8
6.8,12,4,5,6
7.4,23,5,6,7
6.5,8,7,8,9
6.6,15,6,7,8
6.6,614,1,2,3
4.9,10,4,5,6
7.7,22.4,7,8,9
6.1,33,5,6,7
6.1,10,8,9,10
6.5,21,3,4,5
6.6,26,5,6,7
7.1,35,5,6,7
3.6,10,3,4,5
7.1,201.7,3,4,5
6.8,5,8,9,10
5.1,21,4,5,6
4.6,20,4,5,6
7,18,5,6,7
7.9,10,4,5,6
5.9,16,6,7,8
4.7,24,5,6,7
7.5,20,8,9,10
6.8,570.41,1,2,3
8,35,9,10,11
5.8,9,6,7,8
8.2,600,2,3,4
6.6,11,6,7,8
6.6,33,4,5,6
6.5,119,3,4,5
6.9,26,5,6,7
7.1,39,7,8,9
7.2,22,5,6,7
7.1,33,7,8,9
7.5,41,4,5,6
6.5,19.2,4,5,6
6.4,29,3,4,5
6.5,42.9,4,5,6
7.6,25,8,9,10
7.9,109,6,7,8
7.5,55,6,7,8
7,33,5,6,7
7.7,196,4,5,6
7.3,30,8,9,10
7,25,7,8,9
6.7,12,5,6,7
6.5,37,1,2,3
7.7,5,8,9,10
7.4,30,8,9,10
6.5,12,5,6,7
7.1,49,7,8,9
6.7,24,5,6,7
6.5,24.07,5,6,7
6.8,38,3,4,5
6.6,10,5,6,7
6.1,15,6,7,8
6.3,10,8,9,10
8.6,33,9,10,11
6.5,13,4,5,6
6.7,15,7,8,9
6.9,33,4,5,6
7,16.6,5,6,7
6.6,34,4,5,6
6.5,20,4,5,6
7.3,19,5,6,7
6.4,142,5,6,7
6.5,10,5,6,7
5.6,10,1,2,3
7.1,46,5,6,7
6.7,14,7,8,9
6.2,30,6,7,8
5.1,10,2,3,4
6.5,15,2,3,4
6.9,47.5,4,5,6
8.16,27,7,8,9
6.6,24,5,6,7
6.6,27,3,4,5
6.5,192.955,2,3,4
6.5,16,2,3,4
6.6,33,6,7,8
9.5,25,10,11,12
7.8,74,6,7,8
7.2,19,2,3,4
6.8,60,9,10,11
6.5,8,2,3,4
6.6,10,5,6,7
7.3,170,4,5,6
6.7,33,2,3,4
4.6,10,5,6,7
7,267,2,3,4
7,10,3,4,5
6.9,11.2,4,5,6
6.5,20,2,3,4
6.9,9,4,5,6
6.5,10,3,4,5
7.4,24,5,6,7
6.6,13,3,4,5
7.4,35,3,4,5
8.5,60,8,9,10
6.9,10,4,5,6
5.3,33,5,6,7
6.6,33,5,6,7
5.8,10,7,8,9
6.8,219.96,2,3,4
6.5,187,2,3,4
7.5,20,6,7,8
7.6,28,3,4,5
8.2,35,5,6,7
7.3,595,2,3,4
7.4,30,7,8,9
7.7,48,6,7,8
4.7,18,4,5,6
4.4,35,5,6,7
6.6,25,4,5,6
6.7,20,5,6,7
6.7,23,5,6,7
7.1,55.14,5,6,7
7.5,40,8,9,10
7.1,33,6,7,8
7.5,31,5,6,7
7.6,20,7,8,9
7.2,33,5,6,7
6.9,27,3,4,5
5.8,10,7,8,9
6.6,624.464,0,1,2
8.3,25,10,11,12
6.6,33,5,6,7
6.8,33,5,6,7
7.1,33,4,5,6
7.1,50,6,7,8
7.3,20,8,9,10
8.2,33,7,8,9
7.1,40,6,7,8
6.8,33,6,7,8
7.3,15,6,7,8
8.2,10,5,6,7
6.9,12,2,3,4
6.6,10,5,6,7
7.5,160,4,5,6
7,137,3,4,5
5.7,30,6,7,8
6.5,20,2,3,4
7.7,22.4,7,8,9
6.7,24,4,5,6
6.5,20,5,6,7
6.9,56.6,3,4,5
7.1,28.4,4,5,6
6.8,25,4,5,6
7.9,24,6,7,8
7,18,5,6,7
7.8,33,5,6,7
7.8,30,5,6,7
6.7,12,6,7,8
6.4,15,4,5,6
5.9,16,6,7,8
5.8,10,8,9,10
7.3,385.5,2,3,4
6.6,7,5,6,7
5.9,21,5,6,7
6.8,16,5,6,7
6.6,614,1,2,3
6.5,39.7,3,4,5
6.9,20,4,5,6
6,82,3,4,5
8.1,22.79,5,6,7
6.9,29,5,6,7
7.1,35,2,3,4
6.9,25,3,4,5
7,33,4,5,6
6.4,15,8,9,10
6.6,25,4,5,6
8.1,22.79,5,6,7
6.9,145,3,4,5
8.16,27,7,8,9
6.8,65,7,8,9
7.4,55,5,6,7
6.8,540,1,2,3
6.7,21,4,5,6
8,60.5,7,8,9
4.7,10,4,5,6
7.2,24,6,7,8
7.3,19,6,7,8
7.8,28,6,7,8
6.9,535,1,2,3
7.1,10,8,9,10
6,26,6,7,8
5.6,10,5,6,7
6.7,4,6,7,8
8.3,100,7,8,9
5.6,24,6,7,8
6.7,18,4,5,6
6.9,10,4,5,6
6.5,595.98,1,2,3
7.5,160,4,5,6
4.9,10,5,6,7
5.5,5,5,6,7
5.5,34,3,4,5
7,39,5,6,7
6.6,33,5,6,7
6.8,15,7,8,9
6.7,10,5,6,7
6.3,22,6,7,8
6.5,16,4,5,6
7.9,33,4,5,6
5.9,13,5,6,7
6.8,18,5,6,7
7.1,39,5,6,7
6.9,10,5,6,7
7,143,4,5,6
6.1,9,4,5,6
6.6,33,4,5,6
7.5,31,4,5,6
7.2,14,3,4,5
5.1,33,5,6,7
6.9,405.69,1,2,3
6.5,15,4,5,6
7.3,33,8,9,10
6.7,40.8,2,3,4
6.7,20.49,5,6,7
6.9,12,4,5,6
7.8,10,7,8,9
6.8,44,4,5,6
7.3,18,8,9,10
6.7,17.4,4,5,6
6.9,35,3,4,5
7.1,21.1,5,6,7
8.2,47.4,7,8,9
7.7,30,8,9,10
7.1,28,4,5,6
6.1,33,5,6,7
6.8,12,4,5,6
5.4,54,5,6,7
7.9,109,6,7,8
5.9,16,6,7,8
7.8,31,8,9,10
8.3,22.4,7,8,9
7.5,15,8,9,10
6.5,10,5,6,7
7.7,17,6,7,8
7.8,14,5,6,7
6.5,15,6,7,8
6.7,152,3,4,5
6,5,4,5,6
5.8,29,5,6,7
6.7,12,5,6,7
7,32,3,4,5
6.3,15,6,7,8
6.5,30,4,5,6
6.2,5,4,5,6
6.5,125.1,3,4,5
